subject,verb,score,modality,test,trial_order,session,type,cloze,wmc,prod_pre,rec_pre
7,pick,0,FTF,priming2,21,session2,prime,34,55,0,7
7,cross,0,FTF,priming2,22,session2,non-prime,34,55,0,7
7,staple,0,FTF,priming2,23,session2,prime,34,55,0,7
7,deposit,0,FTF,priming2,25,session2,prime,34,55,0,7
7,park,0,FTF,priming2,31,session2,prime,34,55,0,7
7,store,1,FTF,priming1,19,session1,prime,34,55,0,7
7,drink,1,FTF,priming1,23,session1,prime,34,55,0,7
7,pour,1,FTF,priming1,25,session1,prime,34,55,0,7
7,need,1,FTF,priming1,14,session1,non-prime,34,55,0,7
7,insert,1,FTF,priming1,26,session1,non-prime,34,55,0,7
7,mix,1,FTF,priming1,29,session1,prime,34,55,0,7
7,display,1,FTF,priming1,3,session1,prime,34,55,0,7
7,put,1,FTF,priming1,33,session1,prime,34,55,0,7
7,study,1,FTF,priming2,3,session2,prime,34,55,0,7
7,take,1,FTF,priming2,29,session2,prime,34,55,0,7
7,stretch,1,FTF,priming2,33,session2,prime,34,55,0,7
7,fill,1,FTF,priming2,35,session2,prime,34,55,0,7
