subject,verb,score,binary_score,Modality,test,trial_order,Session,Type,typingSpeed,Cloze,WMC,rec_pre,prod_pre,rec_pre_1_2
5,select,7,1,FTF,priming1,5,session1,prime,45.13,35,46,6,0,6
5,study,7,1,FTF,priming2,3,session2,prime,45.13,35,46,6,0,6
5,perform,7,1,FTF,priming2,5,session2,prime,45.13,35,46,6,0,6
5,choose,7,1,FTF,priming2,13,session2,prime,45.13,35,46,6,0,6
5,bake,7,1,FTF,priming2,15,session2,prime,45.13,35,46,6,0,6
5,ride,9,1,FTF,priming2,34,session2,non-prime,45.13,35,46,6,0,6
5,cut,10,1,FTF,priming1,15,session1,prime,45.13,35,46,6,0,6
5,store,10,1,FTF,priming1,19,session1,prime,45.13,35,46,6,0,6
5,watch,10,1,FTF,priming1,21,session1,prime,45.13,35,46,6,0,6
5,put,10,1,FTF,priming1,33,session1,prime,45.13,35,46,6,0,6
5,pick,10,1,FTF,priming2,21,session2,prime,45.13,35,46,6,0,6
5,deposit,10,1,FTF,priming2,25,session2,prime,45.13,35,46,6,0,6
6,organize,1,0,FTF,priming1,9,session1,prime,36.08,33,68,10,0,14
6,burn,1,0,FTF,priming1,10,session1,non-prime,36.08,33,68,10,0,14
6,stack,1,0,FTF,priming1,11,session1,prime,36.08,33,68,10,0,14
6,pet,1,0,FTF,priming1,12,session1,non-prime,36.08,33,68,10,0,14
6,toast,1,0,FTF,priming1,13,session1,prime,36.08,33,68,10,0,14
6,push,1,0,FTF,priming1,16,session1,non-prime,36.08,33,68,10,0,14
6,store,1,0,FTF,priming1,19,session1,prime,36.08,33,68,10,0,14
6,insert,1,0,FTF,priming1,26,session1,non-prime,36.08,33,68,10,0,14
6,turn,1,0,FTF,priming1,28,session1,non-prime,36.08,33,68,10,0,14
6,mix,1,0,FTF,priming1,29,session1,prime,36.08,33,68,10,0,14
6,sprinkle,1,0,FTF,priming1,30,session1,non-prime,36.08,33,68,10,0,14
6,swipe,1,0,FTF,priming1,34,session1,non-prime,36.08,33,68,10,0,14
6,print,1,0,FTF,priming2,7,session2,prime,36.08,33,68,10,0,14
6,fly,1,0,FTF,priming2,16,session2,non-prime,36.08,33,68,10,0,14
6,wash,1,0,FTF,priming2,17,session2,prime,36.08,33,68,10,0,14
6,staple,1,0,FTF,priming2,23,session2,prime,36.08,33,68,10,0,14
6,grow,2,0,FTF,priming1,2,session1,non-prime,36.08,33,68,10,0,14
6,display,2,0,FTF,priming1,3,session1,prime,36.08,33,68,10,0,14
6,buy,2,0,FTF,priming1,4,session1,non-prime,36.08,33,68,10,0,14
6,use,2,0,FTF,priming1,6,session1,non-prime,36.08,33,68,10,0,14
6,need,2,0,FTF,priming1,14,session1,non-prime,36.08,33,68,10,0,14
6,boil,2,0,FTF,priming1,17,session1,prime,36.08,33,68,10,0,14
6,read,2,0,FTF,priming1,18,session1,non-prime,36.08,33,68,10,0,14
6,send,2,0,FTF,priming1,20,session1,non-prime,36.08,33,68,10,0,14
6,watch,2,0,FTF,priming1,21,session1,prime,36.08,33,68,10,0,14
6,wear,2,0,FTF,priming1,22,session1,non-prime,36.08,33,68,10,0,14
6,drink,2,0,FTF,priming1,23,session1,prime,36.08,33,68,10,0,14
6,shake,2,0,FTF,priming1,24,session1,non-prime,36.08,33,68,10,0,14
6,pour,2,0,FTF,priming1,25,session1,prime,36.08,33,68,10,0,14
6,measure,2,0,FTF,priming1,27,session1,prime,36.08,33,68,10,0,14
6,show,2,0,FTF,priming1,32,session1,non-prime,36.08,33,68,10,0,14
6,catch,2,0,FTF,priming2,6,session2,non-prime,36.08,33,68,10,0,14
6,polish,2,0,FTF,priming2,8,session2,non-prime,36.08,33,68,10,0,14
6,drive,2,0,FTF,priming2,10,session2,non-prime,36.08,33,68,10,0,14
6,peel,2,0,FTF,priming2,12,session2,non-prime,36.08,33,68,10,0,14
6,lift,2,0,FTF,priming2,14,session2,non-prime,36.08,33,68,10,0,14
6,bake,2,0,FTF,priming2,15,session2,prime,36.08,33,68,10,0,14
6,drink,2,0,FTF,priming2,18,session2,non-prime,36.08,33,68,10,0,14
6,type,2,0,FTF,priming2,19,session2,prime,36.08,33,68,10,0,14
6,move,2,0,FTF,priming2,24,session2,non-prime,36.08,33,68,10,0,14
6,rake,2,0,FTF,priming2,26,session2,non-prime,36.08,33,68,10,0,14
6,have,2,0,FTF,priming2,27,session2,prime,36.08,33,68,10,0,14
6,hit,2,0,FTF,priming2,28,session2,non-prime,36.08,33,68,10,0,14
6,raise,2,0,FTF,priming2,30,session2,non-prime,36.08,33,68,10,0,14
6,follow,2,0,FTF,priming2,32,session2,non-prime,36.08,33,68,10,0,14
6,ride,2,0,FTF,priming2,34,session2,non-prime,36.08,33,68,10,0,14
6,pass,2,0,FTF,priming2,36,session2,non-prime,36.08,33,68,10,0,14
6,brush,4,0,FTF,priming1,8,session1,non-prime,36.08,33,68,10,0,14
6,post,4,0,FTF,priming2,9,session2,prime,36.08,33,68,10,0,14
6,select,8,1,FTF,priming1,5,session1,prime,36.08,33,68,10,0,14
6,sing,8,1,FTF,priming1,7,session1,prime,36.08,33,68,10,0,14
6,cut,8,1,FTF,priming1,15,session1,prime,36.08,33,68,10,0,14
6,wipe,8,1,FTF,priming1,35,session1,prime,36.08,33,68,10,0,14
6,choose,8,1,FTF,priming2,13,session2,prime,36.08,33,68,10,0,14
