subject,verb,score,binary_score,new_score,mod_score,rescale_score,priming_amount,group,modality,condition,test,trial_order,test_order,rec_pre,typingSpeed,cloze,WMC1,WMC2,rec_pre_1_2
28,shave,1,0,1,0,1,0,control,FTF,controlFTF,prod1,4,a_pre,5,51.18,25,59,89,6
29,take,1,0,1,0,1,0,control,FTF,controlFTF,prod1,11,a_pre,4,52.41,29,57,84,4
29,cook,1,0,1,0,1,0,control,FTF,controlFTF,prod1,12,a_pre,4,52.41,29,57,84,4
29,store,1,0,1,0,1,0,control,FTF,controlFTF,prod2,8,post1,4,52.41,29,57,84,4
29,vacuum,1,0,1,0,1,0,control,FTF,controlFTF,prod2,10,post1,4,52.41,29,57,84,4
31,park,1,0,1,0,1,0,control,FTF,controlFTF,prod1,1,a_pre,3,44.22,20,54,76,3
31,cover,1,0,1,0,1,0,control,FTF,controlFTF,prod1,3,a_pre,3,44.22,20,54,76,3
31,shave,1,0,1,0,1,0,control,FTF,controlFTF,prod1,4,a_pre,3,44.22,20,54,76,3
31,lose,1,0,1,0,1,0,control,FTF,controlFTF,prod1,5,a_pre,3,44.22,20,54,76,3
31,put,1,0,1,0,1,0,control,FTF,controlFTF,prod1,6,a_pre,3,44.22,20,54,76,3
31,learn,1,0,1,0,1,0,control,FTF,controlFTF,prod1,7,a_pre,3,44.22,20,54,76,3
31,change,1,0,1,0,1,0,control,FTF,controlFTF,prod1,8,a_pre,3,44.22,20,54,76,3
31,receive,1,0,1,0,1,0,control,FTF,controlFTF,prod1,9,a_pre,3,44.22,20,54,76,3
31,hang,1,0,1,0,1,0,control,FTF,controlFTF,prod1,10,a_pre,3,44.22,20,54,76,3
31,take,1,0,1,0,1,0,control,FTF,controlFTF,prod1,11,a_pre,3,44.22,20,54,76,3
31,cook,1,0,1,0,1,0,control,FTF,controlFTF,prod1,12,a_pre,3,44.22,20,54,76,3
31,set,1,0,1,0,1,0,control,FTF,controlFTF,prod2,1,post1,3,44.22,20,54,76,3
31,select,1,0,1,0,1,0,control,FTF,controlFTF,prod2,2,post1,3,44.22,20,54,76,3
31,mount,1,0,1,0,1,0,control,FTF,controlFTF,prod2,3,post1,3,44.22,20,54,76,3
31,cut,1,0,1,0,1,0,control,FTF,controlFTF,prod2,7,post1,3,44.22,20,54,76,3
31,store,1,0,1,0,1,0,control,FTF,controlFTF,prod2,8,post1,3,44.22,20,54,76,3
31,boil,1,0,1,0,1,0,control,FTF,controlFTF,prod2,9,post1,3,44.22,20,54,76,3
31,vacuum,1,0,1,0,1,0,control,FTF,controlFTF,prod2,10,post1,3,44.22,20,54,76,3
31,scrub,1,0,1,0,1,0,control,FTF,controlFTF,prod2,11,post1,3,44.22,20,54,76,3
31,drink,1,0,1,0,1,0,control,FTF,controlFTF,prod2,12,post1,3,44.22,20,54,76,3
31,eat,1,0,1,0,1,0,control,FTF,controlFTF,prod3,1,post2,3,44.22,20,54,76,3
31,record,1,0,1,0,1,0,control,FTF,controlFTF,prod3,2,post2,3,44.22,20,54,76,3
31,organize,1,0,1,0,1,0,control,FTF,controlFTF,prod3,3,post2,3,44.22,20,54,76,3
31,display,1,0,1,0,1,0,control,FTF,controlFTF,prod3,4,post2,3,44.22,20,54,76,3
